Bảng 1
Drug ;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse;;;;;;;;;;
Omeprazole;Suspension available;Beads clog with water use acidic juice, or make bicarb suspension;15;5;30;Not For Jejunal Feeding Tube;-;-;-;;;;;;;;;;
Prilosec ;Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Prilosec OTC ;Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Desvenlafaxine;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Pristiq ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Procardia ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Procardia XL (Nifedipine);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nifedipine ER;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Procysbi (Cysteamine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Tacrolimus ;Suspension available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
prograf (Tacrolimus);Suspension available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Promacta (eltrombopag);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Finasteride;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Propecia ;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Proscar ;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Pantoprazole;Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Protonix ;Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Mercatopurine;No;Chemotherapy. Use suspension dilute 3x water to avoid clogs;-;-;-;Chemotherapy. Use suspension dilute 3x water to avoid clogs;-;-;-;;;;;;;;;;
Purinethol;No;Chemotherapy. Use suspension dilute 3x water to avoid clogs;-;-;-;Chemotherapy. Use suspension dilute 3x water to avoid clogs;-;-;-;;;;;;;;;;
Pylera ( Bismuth Subcitrate, Metronidazole, and Tetracycline);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Pyrukynd (Mitapivat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Pytest (Carbon 14 Urea);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Qelbree (Viloxazine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Qinlock (Ripretinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Qtern (Dapagliflozin and Saxagliptin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Qternmet XR (Dapagliflozin, Saxagliptin and Meformin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Qudexy XR ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Quinidine ER ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ranolazine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ranexa ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rapamune ;Oral solution available;Not for feeding tube;-;-;-;Not for feeding tube;-;-;-;;;;;;;;;;
Sirolimus;Oral solution available;Not for feeding tube;-;-;-;Not for feeding tube;-;-;-;;;;;;;;;;
Rayaldee (Calcifediol);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Rayos ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mirtazapine Soltab;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Remeron Soltab ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Mirtazapine;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Renagel ;Sevelamer carbonate oral suspension available;;;;;Data not available;;;;;;;;;;;;;
Renvela ;Sevelamer carbonate oral suspension available;;;;;Data not available;;;;;;;;;;;;;
Ropinirole;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ropinirole ER;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Requip XL ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Rescriptor (Delavirdine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Retevmo (selpercatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lenalidomide;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Revlimid (lenalidomide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Reyataz ;Oral power available;Contains co-precipitate, mix in syringe and extra rinse;10;2;20;Contains co-precipitate, mix in syringe and extra rinse;10;2;20;;;;;;;;;;
Atazanavir;Oral power available;Contains co-precipitate, mix in syringe and extra rinse;10;2;20;Contains co-precipitate, mix in syringe and extra rinse;10;2;20;;;;;;;;;;
Reywow (Lasmiditan);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rezlidhia (Olutasidenib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rezurock (Belumosudil);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ribasphere ;Suspension available;Use suspension, avoid compound hazardous;-;-;-;Use suspension, avoid compound hazardous;-;-;-;;;;;;;;;;
Ribavirin;Suspension available;Use suspension, avoid compound hazardous;-;-;-;Use suspension, avoid compound hazardous;-;-;-;;;;;;;;;;
Rinvoq (upadacitinib);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Risperidone M-tab;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Rilalin LA ;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ritalin-SR ;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Roszet (Ezetimibe and Rosuvastatin);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Roweepra ;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Roweepra ER ;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Rozlytrek (entrectinib);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Rukobia (Fostemsvir);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Rybelsus (semaglutide);Injectable available;Data not available;;;;Data not available;;;;;;;;;;;;;
Rydapt (Midostaurin);No;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Rytary (carbidopa and levodopa);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Rythmol SR (propafenone);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Scemblix (Asciminib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cinacalcet;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Sensipar (Cinacalcet);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Quetiapine ER;No;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Seroquel XR ;No;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Siklos (Hydroxyurea);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Simcor (Niacin and Simvastatin );No;Not for Tube Feeding ;-;-;-;Not for tube Feeding;-;-;-;;;;;;;;;;
Carbidopa and Levodopa ER ;Duopa suspension available;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Sinemet CR ;Duopa suspension available;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Sirturo (Bedaquiline);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Sitavig ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Niacin ER;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Slo-Niacin ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Magnesium Oxide;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Slynd (Drospirenone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Soriatane (Acitretin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Sporanox (Itraconazole);Itraconazole solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Sprycel (Dasatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Stalevo (Levodopa, Carbidopa and Entacapone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Staxyn (Verdenafil);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Stivarga (Rogorafenib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Buprenorphine and Naloxone Film;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Suboxone ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Sudafed 12-hour (Pseudoephedrine);Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Sudafed 24-hour (Pseudoephedrine);Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Sular (Nisoldipine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Supeudol ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Efavirenz;No;Does not dissolves, clog tube. Not for Feeding Tube;-;-;-;Does not dissolves, clog tube. Not for Feeding Tube;-;-;-;;;;;;;;;;
Sustiva ;No;Does not dissolves, clog tube. Not for Feeding Tube;-;-;-;Does not dissolves, clog tube. Not for Feeding Tube;-;-;-;;;;;;;;;;
Symdeko (Tezacaftor and Ivacaftor);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Synjardy XR (Empagliflozin and Metformin);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Syprine (Trientine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tafinlar (Dabrafenib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tagrisso (Osimertinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Talicia (Omeprazole, amoxicillin, and Rifabutin);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Talwin (Pentazocine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Talzenna (Talazoparib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tamoxifen;Suspension available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Targiniq ER (Oxycodone and Naloxone);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Tarpeyo ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;;;;;;;;;;;
Tasigna (nilotinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tazverik (Tazemetostat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tecfidera(Dimethyl Fumarate);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Carbamazepine ;Tegretol oral suspension available;Use suspension, high osmolality 4225 mOsm/kg dilute 3X4;-;-;30;Use suspension, high osmolality 4225 mOsm/kg dilute 3X4;-;-;30;;;;;;;;;;
Carbamazepine;Tegretol oral suspension available;Use suspension, high osmolality 4225 mOsm/kg dilute 3X4;use suspension;-;30;Use suspension, high osmolality 4225 mOsm/kg dilute 3X4;use suspension;-;30;;;;;;;;;;
Carbamazepine ER;Tegretol oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Tegretol-XR (Carbamazepine);Tegretol oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Temodar (Temozolomide);Injectable powder available;;;;;Data not available;;;;;;;;;;;;;
Tepmetko;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Thalidomide ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Thalomid (Thalidomide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Theo-24 (theophyline);;Data not available;;;;Data not available;;;;;;;;;;;;;
Tiazac ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Tibsovo (Ivosidenib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tirosint ;Tirosint-sol oral solution available;;;;;Data not available;;;;;;;;;;;;;
Itraconazole;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Tolsura (Itraconazole);Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Topamax Sprinkle;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Topiramate;No;Not For feeding tube;-;-;-;Not for feeding tube;-;-;-;;;;;;;;;;
Metoprolol succinate ;Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Toprol XL (Metoprolol succinate);Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Toviaz (Fesoterpdome);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tracleer (Bosentan);Oral Suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Tramadol ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Tranexamic acid;Injectable available;Poorly soluble, does not mix well for feeding tube. Need acid to dissolve;20;5;30;Not For Jejunal feeding tube;-;-;-;;;;;;;;;;
Pentoxifylline;No;Controlled release, do not crush - Make suspension change dose frequency;-;-;-;Controlled release, do not crush - Make suspension change dose frequency;-;-;-;;;;;;;;;;
Trental ;No;Controlled release, do not crush - Make suspension change dose frequency;-;-;-;Controlled release, do not crush - Make suspension change dose frequency;-;-;-;;;;;;;;;;
Treximet ;No;Not For feeding tube;-;-;-;Not For feeding tube;-;-;-;;;;;;;;;;
Triglide (Fenofibrate and derivatives);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Trijardy XR (Empagliflozin, linagliptin and metformin);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Trikafta (Elexacaftor, Tezacaftor and Ivacaftor);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Trilipix (Fenofribate);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Topamax;Eprontia oral solution available;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Topamax;Eprontia oral solution available;Dissolve quickly, need extra rinse;10;1;30;Dissolve quickly, need extra rinse;10;1;30;;;;;;;;;;
Topiramate;Eprontia oral solution available;Dissolve quickly, need extra rinse;10;1;30;Dissolve quickly, need extra rinse;10;1;30;;;;;;;;;;
Trokendi XR ;Eprontia oral solution available;Not for Feeding tube;-;-;-;Not for Feeding tube;-;- ;-;;;;;;;;;;
Topiramate ER;Eprontia oral solution available;Not for Feeding tube;-;-;-;Not for Feeding tube;-;- ;-;;;;;;;;;;
Trulance (Plecanatide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Truseltiq;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tukysa (Tucatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Turalio (Pexidartinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Uceris ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ukoniq(umbralisib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ultram;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ultram ER ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Theophylline ER;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
uptravi (Selexipag);Injectable available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Urocit-K (Potassium Citrate);No;Use potassium solution;-;-;-;Use potassium solution;-;-;-;;;;;;;;;;
Uroxatral (Alfuzosin);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Valcyte (Valganciclovir);Yes;Data not available;;;;Data not available;;;;;;;;;;;;;
Vascepa (Omega-3 Fatty Acids);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Venclexta (Venetoclax);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Effexor XR ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Venlafaxine;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Verapamil SR;Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Verelan (Verapamil );Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Verelan PM (Verapamil);Injectable available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Verzenio (Abemaciclib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Solifenacin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Vesicare (Solifenacin) ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Videx EC (Didanosin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Viekira XR (Ombitasvir, Paritaprevir, ritonavir and Dasabuvir);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Vijoice (Alpelisib);Oral granules available;Not For Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Vimovo ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Lacosamide;Oral and Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Vimpat (Lacosamide);Oral and Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Viokace ;No;Use Viokace only. Gastric Feeding tube only;10;1;10;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Viramune XR;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nevirapine;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nevirapine;No;Contain co-precipiate poor dissolution, extra rinse needed;15;2;30;Contain co-precipiate poor dissolution, extra rinse needed;15;2;30;;;;;;;;;;
Vitrakvi (Larotrectinib);Oral solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Vivjoa (Oteseconazole);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Vivotif (Typhoid Vaccine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Diclofenac ER;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Voltaren-XR ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Vonjo (Pacritinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Votrient (Pazopanib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Vumerity (Diroximel fumrate);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Vyndamax (tafamidis);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Vyndaqel (Tafamidis);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Wakix (Pitolisant );No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xalkori (Crizotinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xanax XR ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Xartemis XR ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Xcopri (Cenobamate);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xeljanz (Tocfacotib);;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Xeloda ;No;Dissolved slowly, but completely;20;20;20;Dissolved slowly, but completely;20;20;20;;;;;;;;;;
Capecitabine;No;Dissolved slowly, but completely;20;20;20;Dissolved slowly, but completely;20;20;20;;;;;;;;;;
Xigduo XR (Dapagliflozin and Metformin);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Ximino ;Oral suspension available;Not For Feeding tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Xospata (gilteritinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xpovio (Selinexor);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xtampza Er ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Xtandi (Enzalutamide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Yonsa (Abiraterone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Yosprala (Aspirin and Omeprazole);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Zegerid OTC (Omeprazole and sodium Bicarbonate);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Zejula (Niraparib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zelboraf (Vemurafenib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zenatane (Isotretinoin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zenpep ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Zeposia (Ozanimod);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zohydro ER (Hydrocodone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zokinvy (Lonafarnib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zolinza( Vorinostat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zomig-ZMT (Zolmitriptan);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zonatuss ;No;Does not dissolve. Not for feeding tube;-;-;-;Does not dissolve. Not for feeding tube;-;-;-;;;;;;;;;;
Everolimus;Oral suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Zortress ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zubsolv ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Buprenorphine and Naloxone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zuplenz ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zyban;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zydelig (Idelaisib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zyflo;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zyflo CR (Zileuton);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Abiraterone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zytiga ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Metformin ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Glucophage XR ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Glucohage;No;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;3;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;30;;;;;;;;;;
Metformin;No;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;30;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;30;;;;;;;;;;
Prinivil;No;Poorly soluble. Require extra rinsing;10;2;30;Poorly soluble. Require extra rinsing;10;2;30;;;;;;;;;;
Lisinopril;No;Poorly soluble. Require extra rinsing;10;2;30;Poorly soluble. Require extra rinsing;10;2;30;;;;;;;;;;
Synthroid;Injectable solution available;Contain co-precipitate, mix in syringe and give immediately ;10;2;10;Contain co-precipitate, mix in syringe and give immediately ;10;2;10;;;;;;;;;;
Levothyroxine;Injectable solution available;Contain co-precipitate, mix in syringe and give immediately ;10;2;10;Contain co-precipitate, mix in syringe and give immediately ;10;2;10;;;;;;;;;;
Norvac;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Amlodipine;No;Dissolve well, leaves residue that ppt quickly;10;1;20;Dissolve well, leaves residue that ppt quickly;10;1;20;;;;;;;;;;
Lopressor;Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Metoprolol tartrate;Injectable solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Cozaar;No;Slow to dissolve ;10;2;10;Slow to dissolve ;10;2;10;;;;;;;;;;
Losartan;No;Slow to dissolve ;10;2;10;Slow to dissolve ;10;2;10;;;;;;;;;;
Zoloft;Solution available;Poor soluble, requires extra rinse;10;1;20;Poor soluble, requires extra rinse;10;1;20;;;;;;;;;;
Sertraline;Solution available;Poor soluble, requires extra rinse;10;1;20;Poor soluble, requires extra rinse;10;1;20;;;;;;;;;;
Inzirqo;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydrochlorothiazide (HCTZ);No;Much residual undissolved. Rinse well;10;1;20;Much residual undissolved. Rinse well;10;1;20;;;;;;;;;;
Crestor;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Rosuvastatin;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Lexapro;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Escitalopram;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Singulair;Chewable tablet available;Produces foam -difficult to mix. Extra rinse needed;10;5;30;Not For Jejunal Feedint Tube;-;-;-;;;;;;;;;;
Montelukast;Chewable tablet available;Produces foam -difficult to mix. Extra rinse needed;10;5;30;Not For Jejunal Feedint Tube;-;-;-;;;;;;;;;;
Raldesy;Oral Solutio available;Dissolves quickly need extra rinse;-;-;-;Dissolves quickly need extra rinse;-;-;-;;;;;;;;;;
Trazodone;Oral Solutio available;Dissolves quickly need extra rinse;-;-;-;Dissolves quickly need extra rinse;-;-;-;;;;;;;;;;
Zocor;No;Slowly dissolve, extra rinse;10;2;20;Slowly dissolve, extra rinse;10;2;20;;;;;;;;;;
Simvastatin;No;Slowly dissolve, extra rinse;10;2;20;Slowly dissolve, extra rinse;10;2;20;;;;;;;;;;
Prozac;Oral Solutio available;Data not available;;;;Data not available;;;;;;;;;;;;;
Vicodin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Acetaminophen/hydrocodone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lasix;Injectable solution available;Tablet Dissolves quickly;10;1;20;Tablet Dissolves quickly;10;1;20;;;;;;;;;;
Furosemide;Injectable solution available;Tablet Dissolves quickly;10;1;20;Tablet Dissolves quickly;10;1;20;;;;;;;;;;
Amoxicillin ;Oral Suspension available;;;;;Data not available;;;;;;;;;;;;;
Amoxicillin ;Oral Suspension available;;-;-;-;Use suspension ;-;-;-;;;;;;;;;;
Eliquis;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Apixaban;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mobic;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Meloxicam;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rayos;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Prednisone;No;Tablet Dissolve quickly, dont use elixir.;-;-;-;Tablet Dissolve quickly, dont use elixir.;-;-;-;;;;;;;;;;
Cymbalta;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
