MediCrush1017.xlsx - Sheet1
Drug ;Dose Form;Comment;RPH1;Date ;Reference;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse
Voltaren-XR ;Extended released tablet;Must be swallowed whole and must not be chewed, crushed, or divided.;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020254s030lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Vonjo (Pacritinib);Capsule;Swallow capsules whole. Do not open, break, or chew capsules. ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208712s000lbl.pdf;No;Data not available;;;;Data not available;;;
Votrient (Pazopanib);Tablet;"Swallow tablets whole. Do not crush tablets due to the potential for increased rate of absorption, which may
affect systemic exposure";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022465s036lbl.pdf;No;Data not available;;;;Data not available;;;
Vumerity (Diroximel fumrate);Capsule;Swallow VUMERITY capsules whole and intact. Do not crush, chew, or sprinkle capsule contents on food;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/211855s015lbl.pdf;No;Data not available;;;;Data not available;;;
Vyndamax (tafamidis);Capsule;The capsules should be swallowed whole and not crushed or cut. ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211996s002,212161s002lbl.pdf;No;Data not available;;;;Data not available;;;
Vyndaqel (Tafamidis);Capsule;The capsules should be swallowed whole and not crushed or cut. ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211996s002,212161s002lbl.pdf;No;Data not available;;;;Data not available;;;
Wakix (Pitolisant );Tablet;Canadian manufactuer recommendation;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/211150s007lbl.pdf;No;Data not available;;;;Data not available;;;
Xalkori (Crizotinib);Capsule;Swallow capsules whole;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202570s031lbl.pdf;No;Data not available;;;;Data not available;;;
Xanax XR ;Extended Released Tablet;"Swallow tablets whole; do not divide, crush, or chew";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021434s022lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Xartemis XR ;Extended Released Tablet;Extended release tablet, tablet disruption may cause a potentially fatal overdose;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204031s004s005lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Xcopri (Cenobamate);Tablet;"XCOPRI can be taken whole or the tablets can be crushed. The crushed
tablet can be mixed with water and either administered by mouth as an oral
suspension or administered via a nasogastric tube. (";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212839s009s010lbl.pdf;No;Data not available;;;;Data not available;;;
Xeljanz (Tocfacotib);Extended Released Tablet;Extended release tablet, Manufacture recommendation);HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/203214s000lbl.pdf;;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Xeloda ;Tablet;"Swallow XELODA tablets whole with water within 30 minutes after a meal. Do not chew, cut,
or crush XELODA tablets";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s045s046s047s048s049s050s051lbl.pdf;No;Dissolved slowly, but completely;20;20;20;Dissolved slowly, but completely;20;20;20
Capecitabine;Tablet;"Swallow XELODA tablets whole with water within 30 minutes after a meal. Do not chew, cut,
or crush XELODA tablets";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s045s046s047s048s049s050s051lbl.pdf;No;Dissolved slowly, but completely;20;20;20;Dissolved slowly, but completely;20;20;20
Xigduo XR (Dapagliflozin and Metformin);Extended Released Tablet;Swallow XIGDUO XR tablets whole and never crush, cut, or chew;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205649s021lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Ximino ;Capsule;The capsules should be swallowed whole without chewing, crushing or splitting.;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/201922s000lbl.pdf;Oral suspension available;Not For Feeding tube;-;-;-;Not For Feeding Tube;-;-;-
Xospata (gilteritinib);Tablet;Do not break or crush XOSPATA tablets. ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/211349s003lbl.pdf;No;Data not available;;;;Data not available;;;
Xpovio (Selinexor);Tablet;must be swallowed whole and not ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/212306s011lbl.pdf;No;Data not available;;;;Data not available;;;
Xtampza Er ;Extended released Capsule;chewed, cut, or crushed;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208090s021lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Xtandi (Enzalutamide);Capsule/tablet;"Advise patients to take each capsule or tablet whole with a sufficient amount of water to ensure that all medication is
successfully swallowed. Do NOT chew, dissolve, or open the capsules. Do NOT cut, crush, or chew the tablets.";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/203415s024,213674s012lbl.pdf;No;Data not available;;;;Data not available;;;
Yonsa (Abiraterone);Tablet;"The tablets should be swallowed whole with water. Do not crush or
chew tablets";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210308s003lbl.pdf;No;Data not available;;;;Data not available;;;
Yosprala (Aspirin and Omeprazole);Delayed Released Tablet;Do not split, chew, crush or dissolve the tablet.;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205103s010lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Zegerid OTC (Omeprazole and sodium Bicarbonate);Delayed Released Capsule;Do not crush or chew the capsule. Swallow whole ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022281Orig1s014Lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Zejula (Niraparib);Capsule; swallow tablets whole and not to chew, crush, or split ZEJULA prior to swallowing;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/214876s003s004lbl.pdf;No;Data not available;;;;Data not available;;;
Zelboraf (Vemurafenib);Capsule;Do not crush or chew the tablets.;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202429s019lbl.pdf;No;Data not available;;;;Data not available;;;
Zenatane (Isotretinoin);Capsule;Mucous membrane irritant, teratogenic potential;HN;8/2/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=486d4a4b-0de5-431a-bef7-dae6b0e4fa20;No;Data not available;;;;Data not available;;;
Zenpep ;Delayed Released Capsule;"Swallow capsules whole. For patients unable to swallow intact capsule(s),
the capsule contents may be sprinkled on soft acidic food (e.g., applesauce,
bananas, pears).
 Do not crush or chew ZENPEP capsules or capsule contents. ";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022210s026lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Zeposia (Ozanimod);Capsule;must be swallowed whole and not ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/209899s011s012lbl.pdf;No;Data not available;;;;Data not available;;;
Zohydro ER (Hydrocodone);Capsule;chewed, cut, or crushed;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202880s020lbl.pdf;No;Data not available;;;;Data not available;;;
Zokinvy (Lonafarnib);Capsule;"Administer ZOKINVY capsules whole with a sufficient amount of water. Do not chew 
the capsules. The entire contents of ZOKINVY capsules can be mixed with Ora Blend SF® or 
Ora-Plus® or, for patients unable to access or tolerate Ora Blend SF or Ora-Plus, the 
contents of ZOKINVY capsules can be mixed with orange juice or applesauce (";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/213969s002s003lbl.pdf;No;Data not available;;;;Data not available;;;
Zolinza( Vorinostat);Capsule;ZOLINZA capsules should not be opened or crushed [;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021991s009lbl.pdf;No;Data not available;;;;Data not available;;;
Zomig-ZMT (Zolmitriptan);Tablet; Do not break ZOMIG orally disintegrating tablets ;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020768s019s021,021231s010s011lbl.pdf;No;Data not available;;;;Data not available;;;
Zonatuss ;Capsule;Swallow whole, pharmacologic action may cause choking if cheewed or opened and swallowed;;;;No;Does not dissolve. Not for feeding tube;-;-;-;Does not dissolve. Not for feeding tube;-;-;-
Everolimus;Tablet;Manufacturer recommendaiton, mucous membrane irritant , hazardous substance. Pharmacokinetic amorphous solid dispersion technology may be affected;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021560s032lbl.pdf;Oral suspension available;Data not available;;;;Data not available;;;
Zortress ;Tablet;Manufacturer recommendaiton, mucous membrane irritant , hazardous substance. Pharmacokinetic amorphous solid dispersion technology may be affected;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021560s032lbl.pdf;No;Data not available;;;;Data not available;;;
Zubsolv ;Sublingual Tablet;Sublingual form;Hn;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204242s031lbl.pdf;No;Data not available;;;;Data not available;;;
Buprenorphine and Naloxone;Sublingual Tablet;Sublingual form;Hn;8/25/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204242s031lbl.pdf;No;Data not available;;;;Data not available;;;
Zuplenz ;Film, Sublingual Film;Film, Sublingual form;Hn;8/25/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022524s007lbl.pdf;No;Data not available;;;;Data not available;;;
Zyban;Tablet;"ZYBAN should be swallowed whole and not crushed, divided, or chewed, as this may lead to an 
increased risk of adverse effects including seizures";HN;8/25/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020711s052lbl.pdf;No;Data not available;;;;Data not available;;;
Zydelig (Idelaisib);Tablet;Swallow tablets whole;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/205858s016lbl.pdf;No;Data not available;;;;Data not available;;;
Zyflo;Tablet;When you take your dose of ZYFLO, the tablets may be swallowed whole or split in half to make them easier to swallow;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020471s017lbl.pdf;No;Data not available;;;;Data not available;;;
Zyflo CR (Zileuton);Extended Released Tablet; Tablets should not be chewed, cut or crushed;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022052s014lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Abiraterone;Tablet;"The tablets must be swallowed whole with water. Do not crush or 
chew tablets";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202379s035lbl.pdf;No;Data not available;;;;Data not available;;;
Zytiga ;Tablet;"The tablets must be swallowed whole with water. Do not crush or 
chew tablets";HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202379s035lbl.pdf;No;Data not available;;;;Data not available;;;
Metformin ;Extended Released Tablet;Swallow GLUCOPHAGE XR tablets whole and never crush, cut or chew;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020357s034,021202s018lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Glucophage XR ;Extended Released Tablet;Swallow GLUCOPHAGE XR tablets whole and never crush, cut or chew;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020357s034,021202s018lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Glucohage;Tablet (Film coated tablet);Acceptable to be crushed;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020357s034,021202s018lbl.pdf;No;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;3;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;30
Metformin;Tablet;Acceptable to be crushed;HN;8/2/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020357s034,021202s018lbl.pdf;No;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;30;Osmolarity 800 mIsm/kg dilute with 30ml rinse with 30 ml water to prevent clog;30;2;30
Prinivil;Tablet;For individuals who have difficulty swallowing tablets, crushing lisinopril can be an option.;HN;8/3/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019558s063lbl.pdf;No;Poorly soluble. Require extra rinsing;10;2;30;Poorly soluble. Require extra rinsing;10;2;30
Lisinopril;Tablet;For individuals who have difficulty swallowing tablets, crushing lisinopril can be an option.;HN;8/3/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019558s063lbl.pdf;No;Poorly soluble. Require extra rinsing;10;2;30;Poorly soluble. Require extra rinsing;10;2;30
Synthroid;Tablet;Administer Levothyroxine Sodium Tablets to infants and children who cannot swallow intact Reference ID: 4422438 This label may not be the latest approved by FDA. For current labeling information, please visit https://www.fda.gov/drugsatfda tablets by crushing the tablet, suspending the freshly crushed tablet in a small amount (5 mL to 10 mL or 1 teaspoon to 2 teaspoons) of water and immediately administering the suspension by spoon or dropper;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021116s017lbl.pdf;Injectable solution available;Contain co-precipitate, mix in syringe and give immediately ;10;2;10;Contain co-precipitate, mix in syringe and give immediately ;10;2;10
Levothyroxine;Tablet;Administer Levothyroxine Sodium Tablets to infants and children who cannot swallow intact Reference ID: 4422438 This label may not be the latest approved by FDA. For current labeling information, please visit https://www.fda.gov/drugsatfda tablets by crushing the tablet, suspending the freshly crushed tablet in a small amount (5 mL to 10 mL or 1 teaspoon to 2 teaspoons) of water and immediately administering the suspension by spoon or dropper;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021116s017lbl.pdf;Injectable solution available;Contain co-precipitate, mix in syringe and give immediately ;10;2;10;Contain co-precipitate, mix in syringe and give immediately ;10;2;10
Norvac;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/019787s062lbl.pdf;No;Data not available;;;;Data not available;;;
Amlodipine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/019787s062lbl.pdf;No;Dissolve well, leaves residue that ppt quickly;10;1;20;Dissolve well, leaves residue that ppt quickly;10;1;20
Lopressor;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017963Orig1s076lbl.pdf;Injectable solution available;;;;;Data not available;;;
Metoprolol tartrate;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017963Orig1s076lbl.pdf;Injectable solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Cozaar;Tablet;Tablet may be crushed or split ;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/020386s069lbl.pdf;No;Slow to dissolve ;10;2;10;Slow to dissolve ;10;2;10
Losartan;Tablet;Tablet may be crushed or split ;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/020386s069lbl.pdf;No;Slow to dissolve ;10;2;10;Slow to dissolve ;10;2;10
Zoloft;Tablet;Tablet may be crushed or split ;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019839s108,20990s062lbl.pdf;Solution available;Poor soluble, requires extra rinse;10;1;20;Poor soluble, requires extra rinse;10;1;20
Sertraline;Tablet;Tablet may be crushed or split ;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019839s108,20990s062lbl.pdf;Solution available;Poor soluble, requires extra rinse;10;1;20;Poor soluble, requires extra rinse;10;1;20
Inzirqo;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219141s000lbl.pdf;No;Data not available;;;;Data not available;;;
Hydrochlorothiazide (HCTZ);Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219141s000lbl.pdf;No;Much residual undissolved. Rinse well;10;1;20;Much residual undissolved. Rinse well;10;1;20
Crestor;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021366s046lbl.pdf;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Rosuvastatin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021366s046lbl.pdf;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Lexapro;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021323s058lbl.pdf;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Escitalopram;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021323s058lbl.pdf;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Singulair;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020829s074,020830s076,021409s052lbl.pdf;Chewable tablet available;Produces foam -difficult to mix. Extra rinse needed;10;5;30;Not For Jejunal Feedint Tube;-;-;-
Montelukast;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020829s074,020830s076,021409s052lbl.pdf;Chewable tablet available;Produces foam -difficult to mix. Extra rinse needed;10;5;30;Not For Jejunal Feedint Tube;-;-;-
Raldesy;Tablet;Swallow tablet whole or as a half tablet by breaking along the score line. ;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218637s000lbl.pdf;Oral Solutio available;Dissolves quickly need extra rinse;-;-;-;Dissolves quickly need extra rinse;-;-;-
Trazodone;Tablet;Swallow tablet whole or as a half tablet by breaking along the score line. ;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218637s000lbl.pdf;Oral Solutio available;Dissolves quickly need extra rinse;-;-;-;Dissolves quickly need extra rinse;-;-;-
Zocor;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019766s104lbl.pdf;No;Slowly dissolve, extra rinse;10;2;20;Slowly dissolve, extra rinse;10;2;20
Simvastatin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019766s104lbl.pdf;No;Slowly dissolve, extra rinse;10;2;20;Slowly dissolve, extra rinse;10;2;20
Prozac;Capsule;Manufacture does not have recommendation. Capsule maybe open;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018936%20s112lbl.pdf;Oral Solutio available;Data not available;;;;Data not available;;;
Vicodin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2006/088058s027lbl.pdf;No;Data not available;;;;Data not available;;;
Acetaminophen/hydrocodone;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2006/088058s027lbl.pdf;No;Data not available;;;;Data not available;;;
Lasix;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/016273s061lbl.pdf;Injectable solution available;Tablet Dissolves quickly;10;1;20;Tablet Dissolves quickly;10;1;20
Furosemide;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/016273s061lbl.pdf;Injectable solution available;Tablet Dissolves quickly;10;1;20;Tablet Dissolves quickly;10;1;20
Amoxicillin ;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=42f935ca-45ba-4b3e-8b40-9b2d4eb56281;Oral Suspension available;;;;;Data not available;;;
Amoxicillin ;Capsulle;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=42f935ca-45ba-4b3e-8b40-9b2d4eb56281;Oral Suspension available;;-;-;-;Use suspension ;-;-;-
Eliquis;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202155s000lbl.pdf;No;Data not available;;;;Data not available;;;
Apixaban;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202155s000lbl.pdf;No;Data not available;;;;Data not available;;;
Mobic;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020938s030lbl.pdf;No;Data not available;;;;Data not available;;;
Meloxicam;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020938s030lbl.pdf;No;Data not available;;;;Data not available;;;
Rayos;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3400d26a-41cb-40e4-99b4-780e1e0ec561;No;Data not available;;;;Data not available;;;
Prednisone;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3400d26a-41cb-40e4-99b4-780e1e0ec561;No;Tablet Dissolve quickly, dont use elixir.;-;-;-;Tablet Dissolve quickly, dont use elixir.;-;-;-
Cymbalta;Capsule;Administer CYMBALTA orally (with or without meals) and swallow whole. Do not chew or crush, and do not open the delayed-release capsule and sprinkle its contents on food or mix with liquids because these actions might affect the enteric coating;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021427s055s057lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Duloxetine;Capsule;Administer CYMBALTA orally (with or without meals) and swallow whole. Do not chew or crush, and do not open the delayed-release capsule and sprinkle its contents on food or mix with liquids because these actions might affect the enteric coating;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021427s055s057lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Advil;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/018989Orig1s104lbl.pdf;Oral Suspension available;Use suspension;-;-;-;Not for Jejunal FT;-;-;-
Ibuprofen;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/018989Orig1s104lbl.pdf;Oral Suspension available;Use suspension;-;-;-;Not for Jejunal FT;-;-;-
